sample_id,dataset,split,task,image_path,mask_path,class_name,orig_class_folder,is_labeled
fus_00000018,FUSeg,train,seg,data/FUSeg/train/images/0037.png,data/FUSeg/train/labels/0037.png,,,1
fus_00000019,FUSeg,train,seg,data/FUSeg/train/images/0038.png,data/FUSeg/train/labels/0038.png,,,1
fus_00000020,FUSeg,train,seg,data/FUSeg/train/images/0040.png,data/FUSeg/train/labels/0040.png,,,1
fus_00000021,FUSeg,train,seg,data/FUSeg/train/images/0042.png,data/FUSeg/train/labels/0042.png,,,1
fus_00000022,FUSeg,train,seg,data/FUSeg/train/images/0043.png,data/FUSeg/train/labels/0043.png,,,1
fus_00000023,FUSeg,train,seg,data/FUSeg/train/images/0045.png,data/FUSeg/train/labels/0045.png,,,1
fus_00000024,FUSeg,train,seg,data/FUSeg/train/images/0049.png,data/FUSeg/train/labels/0049.png,,,1
fus_00000025,FUSeg,train,seg,data/FUSeg/train/images/0050.png,data/FUSeg/train/labels/0050.png,,,1
fus_00000026,FUSeg,train,seg,data/FUSeg/train/images/0051.png,data/FUSeg/train/labels/0051.png,,,1
fus_00000027,FUSeg,train,seg,data/FUSeg/train/images/0052.png,data/FUSeg/train/labels/0052.png,,,1
fus_00000028,FUSeg,train,seg,data/FUSeg/train/images/0053.png,data/FUSeg/train/labels/0053.png,,,1
fus_00000029,FUSeg,train,seg,data/FUSeg/train/images/0054.png,data/FUSeg/train/labels/0054.png,,,1
fus_00000030,FUSeg,train,seg,data/FUSeg/train/images/0055.png,data/FUSeg/train/labels/0055.png,,,1
fus_00000031,FUSeg,train,seg,data/FUSeg/train/images/0056.png,data/FUSeg/train/labels/0056.png,,,1
fus_00000032,FUSeg,train,seg,data/FUSeg/train/images/0059.png,data/FUSeg/train/labels/0059.png,,,1
fus_00000033,FUSeg,train,seg,data/FUSeg/train/images/0060.png,data/FUSeg/train/labels/0060.png,,,1
fus_00000034,FUSeg,train,seg,data/FUSeg/train/images/0061.png,data/FUSeg/train/labels/0061.png,,,1
fus_00000035,FUSeg,train,seg,data/FUSeg/train/images/0064.png,data/FUSeg/train/labels/0064.png,,,1
fus_00000036,FUSeg,train,seg,data/FUSeg/train/images/0066.png,data/FUSeg/train/labels/0066.png,,,1
fus_00000037,FUSeg,train,seg,data/FUSeg/train/images/0069.png,data/FUSeg/train/labels/0069.png,,,1
fus_00000038,FUSeg,train,seg,data/FUSeg/train/images/0070.png,data/FUSeg/train/labels/0070.png,,,1
fus_00000039,FUSeg,train,seg,data/FUSeg/train/images/0071.png,data/FUSeg/train/labels/0071.png,,,1
fus_00000040,FUSeg,train,seg,data/FUSeg/train/images/0072.png,data/FUSeg/train/labels/0072.png,,,1
fus_00000041,FUSeg,train,seg,data/FUSeg/train/images/0073.png,data/FUSeg/train/labels/0073.png,,,1
fus_00000042,FUSeg,train,seg,data/FUSeg/train/images/0074.png,data/FUSeg/train/labels/0074.png,,,1
fus_00000043,FUSeg,train,seg,data/FUSeg/train/images/0075.png,data/FUSeg/train/labels/0075.png,,,1
fus_00000044,FUSeg,train,seg,data/FUSeg/train/images/0076.png,data/FUSeg/train/labels/0076.png,,,1
fus_00000045,FUSeg,train,seg,data/FUSeg/train/images/0080.png,data/FUSeg/train/labels/0080.png,,,1
fus_00000046,FUSeg,train,seg,data/FUSeg/train/images/0083.png,data/FUSeg/train/labels/0083.png,,,1
fus_00000047,FUSeg,train,seg,data/FUSeg/train/images/0084.png,data/FUSeg/train/labels/0084.png,,,1
fus_00000048,FUSeg,train,seg,data/FUSeg/train/images/0086.png,data/FUSeg/train/labels/0086.png,,,1
fus_00000049,FUSeg,train,seg,data/FUSeg/train/images/0087.png,data/FUSeg/train/labels/0087.png,,,1
fus_00000050,FUSeg,train,seg,data/FUSeg/train/images/0088.png,data/FUSeg/train/labels/0088.png,,,1
fus_00000051,FUSeg,train,seg,data/FUSeg/train/images/0091.png,data/FUSeg/train/labels/0091.png,,,1
fus_00000052,FUSeg,train,seg,data/FUSeg/train/images/0093.png,data/FUSeg/train/labels/0093.png,,,1
fus_00000053,FUSeg,train,seg,data/FUSeg/train/images/0094.png,data/FUSeg/train/labels/0094.png,,,1
fus_00000054,FUSeg,train,seg,data/FUSeg/train/images/0098.png,data/FUSeg/train/labels/0098.png,,,1
fus_00000055,FUSeg,train,seg,data/FUSeg/train/images/0100.png,data/FUSeg/train/labels/0100.png,,,1
fus_00000056,FUSeg,train,seg,data/FUSeg/train/images/0101.png,data/FUSeg/train/labels/0101.png,,,1
fus_00000057,FUSeg,train,seg,data/FUSeg/train/images/0102.png,data/FUSeg/train/labels/0102.png,,,1
fus_00000058,FUSeg,train,seg,data/FUSeg/train/images/0103.png,data/FUSeg/train/labels/0103.png,,,1
fus_00000059,FUSeg,train,seg,data/FUSeg/train/images/0104.png,data/FUSeg/train/labels/0104.png,,,1
fus_00000060,FUSeg,train,seg,data/FUSeg/train/images/0105.png,data/FUSeg/train/labels/0105.png,,,1
fus_00000061,FUSeg,train,seg,data/FUSeg/train/images/0110.png,data/FUSeg/train/labels/0110.png,,,1
fus_00000062,FUSeg,train,seg,data/FUSeg/train/images/0111.png,data/FUSeg/train/labels/0111.png,,,1
fus_00000063,FUSeg,train,seg,data/FUSeg/train/images/0112.png,data/FUSeg/train/labels/0112.png,,,1
fus_00000064,FUSeg,train,seg,data/FUSeg/train/images/0113.png,data/FUSeg/train/labels/0113.png,,,1
fus_00000065,FUSeg,train,seg,data/FUSeg/train/images/0114.png,data/FUSeg/train/labels/0114.png,,,1
fus_00000066,FUSeg,train,seg,data/FUSeg/train/images/0116.png,data/FUSeg/train/labels/0116.png,,,1
fus_00000067,FUSeg,train,seg,data/FUSeg/train/images/0118.png,data/FUSeg/train/labels/0118.png,,,1
fus_00000068,FUSeg,train,seg,data/FUSeg/train/images/0119.png,data/FUSeg/train/labels/0119.png,,,1
fus_00000069,FUSeg,train,seg,data/FUSeg/train/images/0120.png,data/FUSeg/train/labels/0120.png,,,1
fus_00000070,FUSeg,train,seg,data/FUSeg/train/images/0127.png,data/FUSeg/train/labels/0127.png,,,1
fus_00000071,FUSeg,train,seg,data/FUSeg/train/images/0129.png,data/FUSeg/train/labels/0129.png,,,1
fus_00000072,FUSeg,train,seg,data/FUSeg/train/images/0130.png,data/FUSeg/train/labels/0130.png,,,1
fus_00000073,FUSeg,train,seg,data/FUSeg/train/images/0132.png,data/FUSeg/train/labels/0132.png,,,1
fus_00000074,FUSeg,train,seg,data/FUSeg/train/images/0135.png,data/FUSeg/train/labels/0135.png,,,1
fus_00000075,FUSeg,train,seg,data/FUSeg/train/images/0137.png,data/FUSeg/train/labels/0137.png,,,1
fus_00000076,FUSeg,train,seg,data/FUSeg/train/images/0140.png,data/FUSeg/train/labels/0140.png,,,1
fus_00000077,FUSeg,train,seg,data/FUSeg/train/images/0141.png,data/FUSeg/train/labels/0141.png,,,1
fus_00000078,FUSeg,train,seg,data/FUSeg/train/images/0142.png,data/FUSeg/train/labels/0142.png,,,1
fus_00000079,FUSeg,train,seg,data/FUSeg/train/images/0145.png,data/FUSeg/train/labels/0145.png,,,1
fus_00000080,FUSeg,train,seg,data/FUSeg/train/images/0147.png,data/FUSeg/train/labels/0147.png,,,1
fus_00000081,FUSeg,train,seg,data/FUSeg/train/images/0148.png,data/FUSeg/train/labels/0148.png,,,1
fus_00000082,FUSeg,train,seg,data/FUSeg/train/images/0150.png,data/FUSeg/train/labels/0150.png,,,1
fus_00000083,FUSeg,train,seg,data/FUSeg/train/images/0152.png,data/FUSeg/train/labels/0152.png,,,1
fus_00000084,FUSeg,train,seg,data/FUSeg/train/images/0153.png,data/FUSeg/train/labels/0153.png,,,1
fus_00000085,FUSeg,train,seg,data/FUSeg/train/images/0155.png,data/FUSeg/train/labels/0155.png,,,1
fus_00000086,FUSeg,train,seg,data/FUSeg/train/images/0156.png,data/FUSeg/train/labels/0156.png,,,1
fus_00000087,FUSeg,train,seg,data/FUSeg/train/images/0157.png,data/FUSeg/train/labels/0157.png,,,1
fus_00000088,FUSeg,train,seg,data/FUSeg/train/images/0158.png,data/FUSeg/train/labels/0158.png,,,1
fus_00000089,FUSeg,train,seg,data/FUSeg/train/images/0159.png,data/FUSeg/train/labels/0159.png,,,1
fus_00000090,FUSeg,train,seg,data/FUSeg/train/images/0160.png,data/FUSeg/train/labels/0160.png,,,1
fus_00000091,FUSeg,train,seg,data/FUSeg/train/images/0161.png,data/FUSeg/train/labels/0161.png,,,1
fus_00000092,FUSeg,train,seg,data/FUSeg/train/images/0162.png,data/FUSeg/train/labels/0162.png,,,1
fus_00000093,FUSeg,train,seg,data/FUSeg/train/images/0163.png,data/FUSeg/train/labels/0163.png,,,1
fus_00000094,FUSeg,train,seg,data/FUSeg/train/images/0167.png,data/FUSeg/train/labels/0167.png,,,1
fus_00000095,FUSeg,train,seg,data/FUSeg/train/images/0168.png,data/FUSeg/train/labels/0168.png,,,1
fus_00000096,FUSeg,train,seg,data/FUSeg/train/images/0170.png,data/FUSeg/train/labels/0170.png,,,1
fus_00000097,FUSeg,train,seg,data/FUSeg/train/images/0171.png,data/FUSeg/train/labels/0171.png,,,1
fus_00000098,FUSeg,train,seg,data/FUSeg/train/images/0172.png,data/FUSeg/train/labels/0172.png,,,1
fus_00000099,FUSeg,train,seg,data/FUSeg/train/images/0173.png,data/FUSeg/train/labels/0173.png,,,1
fus_00000100,FUSeg,train,seg,data/FUSeg/train/images/0174.png,data/FUSeg/train/labels/0174.png,,,1
fus_00000101,FUSeg,train,seg,data/FUSeg/train/images/0175.png,data/FUSeg/train/labels/0175.png,,,1
fus_00000102,FUSeg,train,seg,data/FUSeg/train/images/0176.png,data/FUSeg/train/labels/0176.png,,,1
fus_00000103,FUSeg,train,seg,data/FUSeg/train/images/0178.png,data/FUSeg/train/labels/0178.png,,,1
fus_00000104,FUSeg,train,seg,data/FUSeg/train/images/0179.png,data/FUSeg/train/labels/0179.png,,,1
fus_00000105,FUSeg,train,seg,data/FUSeg/train/images/0183.png,data/FUSeg/train/labels/0183.png,,,1
fus_00000106,FUSeg,train,seg,data/FUSeg/train/images/0184.png,data/FUSeg/train/labels/0184.png,,,1
fus_00000107,FUSeg,train,seg,data/FUSeg/train/images/0185.png,data/FUSeg/train/labels/0185.png,,,1
fus_00000108,FUSeg,train,seg,data/FUSeg/train/images/0187.png,data/FUSeg/train/labels/0187.png,,,1
fus_00000109,FUSeg,train,seg,data/FUSeg/train/images/0188.png,data/FUSeg/train/labels/0188.png,,,1
fus_00000110,FUSeg,train,seg,data/FUSeg/train/images/0189.png,data/FUSeg/train/labels/0189.png,,,1
fus_00000111,FUSeg,train,seg,data/FUSeg/train/images/0191.png,data/FUSeg/train/labels/0191.png,,,1
fus_00000112,FUSeg,train,seg,data/FUSeg/train/images/0193.png,data/FUSeg/train/labels/0193.png,,,1
fus_00000113,FUSeg,train,seg,data/FUSeg/train/images/0194.png,data/FUSeg/train/labels/0194.png,,,1
fus_00000114,FUSeg,train,seg,data/FUSeg/train/images/0195.png,data/FUSeg/train/labels/0195.png,,,1
fus_00000115,FUSeg,train,seg,data/FUSeg/train/images/0196.png,data/FUSeg/train/labels/0196.png,,,1
fus_00000116,FUSeg,train,seg,data/FUSeg/train/images/0197.png,data/FUSeg/train/labels/0197.png,,,1
fus_00000117,FUSeg,train,seg,data/FUSeg/train/images/0199.png,data/FUSeg/train/labels/0199.png,,,1
fus_00000118,FUSeg,train,seg,data/FUSeg/train/images/0200.png,data/FUSeg/train/labels/0200.png,,,1
fus_00000119,FUSeg,train,seg,data/FUSeg/train/images/0204.png,data/FUSeg/train/labels/0204.png,,,1
fus_00000120,FUSeg,train,seg,data/FUSeg/train/images/0206.png,data/FUSeg/train/labels/0206.png,,,1
fus_00000121,FUSeg,train,seg,data/FUSeg/train/images/0209.png,data/FUSeg/train/labels/0209.png,,,1
fus_00000122,FUSeg,train,seg,data/FUSeg/train/images/0215.png,data/FUSeg/train/labels/0215.png,,,1
fus_00000123,FUSeg,train,seg,data/FUSeg/train/images/0216.png,data/FUSeg/train/labels/0216.png,,,1
fus_00000124,FUSeg,train,seg,data/FUSeg/train/images/0218.png,data/FUSeg/train/labels/0218.png,,,1
fus_00000125,FUSeg,train,seg,data/FUSeg/train/images/0219.png,data/FUSeg/train/labels/0219.png,,,1
fus_00000126,FUSeg,train,seg,data/FUSeg/train/images/0220.png,data/FUSeg/train/labels/0220.png,,,1
fus_00000127,FUSeg,train,seg,data/FUSeg/train/images/0221.png,data/FUSeg/train/labels/0221.png,,,1
fus_00000128,FUSeg,train,seg,data/FUSeg/train/images/0222.png,data/FUSeg/train/labels/0222.png,,,1
fus_00000129,FUSeg,train,seg,data/FUSeg/train/images/0224.png,data/FUSeg/train/labels/0224.png,,,1
fus_00000130,FUSeg,train,seg,data/FUSeg/train/images/0225.png,data/FUSeg/train/labels/0225.png,,,1
fus_00000131,FUSeg,train,seg,data/FUSeg/train/images/0226.png,data/FUSeg/train/labels/0226.png,,,1
fus_00000132,FUSeg,train,seg,data/FUSeg/train/images/0227.png,data/FUSeg/train/labels/0227.png,,,1
fus_00000133,FUSeg,train,seg,data/FUSeg/train/images/0228.png,data/FUSeg/train/labels/0228.png,,,1
fus_00000134,FUSeg,train,seg,data/FUSeg/train/images/0229.png,data/FUSeg/train/labels/0229.png,,,1
fus_00000135,FUSeg,train,seg,data/FUSeg/train/images/0231.png,data/FUSeg/train/labels/0231.png,,,1
fus_00000136,FUSeg,train,seg,data/FUSeg/train/images/0232.png,data/FUSeg/train/labels/0232.png,,,1
fus_00000137,FUSeg,train,seg,data/FUSeg/train/images/0234.png,data/FUSeg/train/labels/0234.png,,,1
fus_00000138,FUSeg,train,seg,data/FUSeg/train/images/0236.png,data/FUSeg/train/labels/0236.png,,,1
fus_00000139,FUSeg,train,seg,data/FUSeg/train/images/0237.png,data/FUSeg/train/labels/0237.png,,,1
fus_00000140,FUSeg,train,seg,data/FUSeg/train/images/0238.png,data/FUSeg/train/labels/0238.png,,,1
fus_00000141,FUSeg,train,seg,data/FUSeg/train/images/0239.png,data/FUSeg/train/labels/0239.png,,,1
fus_00000142,FUSeg,train,seg,data/FUSeg/train/images/0240.png,data/FUSeg/train/labels/0240.png,,,1
fus_00000143,FUSeg,train,seg,data/FUSeg/train/images/0241.png,data/FUSeg/train/labels/0241.png,,,1
fus_00000144,FUSeg,train,seg,data/FUSeg/train/images/0242.png,data/FUSeg/train/labels/0242.png,,,1
fus_00000145,FUSeg,train,seg,data/FUSeg/train/images/0243.png,data/FUSeg/train/labels/0243.png,,,1
fus_00000146,FUSeg,train,seg,data/FUSeg/train/images/0244.png,data/FUSeg/train/labels/0244.png,,,1
fus_00000147,FUSeg,train,seg,data/FUSeg/train/images/0246.png,data/FUSeg/train/labels/0246.png,,,1
fus_00000148,FUSeg,train,seg,data/FUSeg/train/images/0248.png,data/FUSeg/train/labels/0248.png,,,1
fus_00000149,FUSeg,train,seg,data/FUSeg/train/images/0249.png,data/FUSeg/train/labels/0249.png,,,1
fus_00000150,FUSeg,train,seg,data/FUSeg/train/images/0250.png,data/FUSeg/train/labels/0250.png,,,1
fus_00000151,FUSeg,train,seg,data/FUSeg/train/images/0252.png,data/FUSeg/train/labels/0252.png,,,1
fus_00000152,FUSeg,train,seg,data/FUSeg/train/images/0253.png,data/FUSeg/train/labels/0253.png,,,1
fus_00000153,FUSeg,train,seg,data/FUSeg/train/images/0254.png,data/FUSeg/train/labels/0254.png,,,1
fus_00000154,FUSeg,train,seg,data/FUSeg/train/images/0257.png,data/FUSeg/train/labels/0257.png,,,1
fus_00000155,FUSeg,train,seg,data/FUSeg/train/images/0258.png,data/FUSeg/train/labels/0258.png,,,1
fus_00000156,FUSeg,train,seg,data/FUSeg/train/images/0260.png,data/FUSeg/train/labels/0260.png,,,1
fus_00000157,FUSeg,train,seg,data/FUSeg/train/images/0261.png,data/FUSeg/train/labels/0261.png,,,1
fus_00000158,FUSeg,train,seg,data/FUSeg/train/images/0263.png,data/FUSeg/train/labels/0263.png,,,1
fus_00000159,FUSeg,train,seg,data/FUSeg/train/images/0264.png,data/FUSeg/train/labels/0264.png,,,1
fus_00000160,FUSeg,train,seg,data/FUSeg/train/images/0265.png,data/FUSeg/train/labels/0265.png,,,1
fus_00000161,FUSeg,train,seg,data/FUSeg/train/images/0266.png,data/FUSeg/train/labels/0266.png,,,1
fus_00000162,FUSeg,train,seg,data/FUSeg/train/images/0267.png,data/FUSeg/train/labels/0267.png,,,1
fus_00000163,FUSeg,train,seg,data/FUSeg/train/images/0268.png,data/FUSeg/train/labels/0268.png,,,1
fus_00000164,FUSeg,train,seg,data/FUSeg/train/images/0270.png,data/FUSeg/train/labels/0270.png,,,1
fus_00000165,FUSeg,train,seg,data/FUSeg/train/images/0273.png,data/FUSeg/train/labels/0273.png,,,1
fus_00000166,FUSeg,train,seg,data/FUSeg/train/images/0274.png,data/FUSeg/train/labels/0274.png,,,1
fus_00000167,FUSeg,train,seg,data/FUSeg/train/images/0277.png,data/FUSeg/train/labels/0277.png,,,1
fus_00000168,FUSeg,train,seg,data/FUSeg/train/images/0279.png,data/FUSeg/train/labels/0279.png,,,1
fus_00000169,FUSeg,train,seg,data/FUSeg/train/images/0283.png,data/FUSeg/train/labels/0283.png,,,1
fus_00000170,FUSeg,train,seg,data/FUSeg/train/images/0285.png,data/FUSeg/train/labels/0285.png,,,1
fus_00000171,FUSeg,train,seg,data/FUSeg/train/images/0287.png,data/FUSeg/train/labels/0287.png,,,1
fus_00000172,FUSeg,train,seg,data/FUSeg/train/images/0288.png,data/FUSeg/train/labels/0288.png,,,1
fus_00000173,FUSeg,train,seg,data/FUSeg/train/images/0290.png,data/FUSeg/train/labels/0290.png,,,1
fus_00000174,FUSeg,train,seg,data/FUSeg/train/images/0292.png,data/FUSeg/train/labels/0292.png,,,1
fus_00000175,FUSeg,train,seg,data/FUSeg/train/images/0295.png,data/FUSeg/train/labels/0295.png,,,1
fus_00000176,FUSeg,train,seg,data/FUSeg/train/images/0296.png,data/FUSeg/train/labels/0296.png,,,1
fus_00000177,FUSeg,train,seg,data/FUSeg/train/images/0297.png,data/FUSeg/train/labels/0297.png,,,1
fus_00000178,FUSeg,train,seg,data/FUSeg/train/images/0299.png,data/FUSeg/train/labels/0299.png,,,1
fus_00000179,FUSeg,train,seg,data/FUSeg/train/images/0302.png,data/FUSeg/train/labels/0302.png,,,1
fus_00000180,FUSeg,train,seg,data/FUSeg/train/images/0304.png,data/FUSeg/train/labels/0304.png,,,1
fus_00000181,FUSeg,train,seg,data/FUSeg/train/images/0305.png,data/FUSeg/train/labels/0305.png,,,1
fus_00000182,FUSeg,train,seg,data/FUSeg/train/images/0306.png,data/FUSeg/train/labels/0306.png,,,1
fus_00000183,FUSeg,train,seg,data/FUSeg/train/images/0307.png,data/FUSeg/train/labels/0307.png,,,1
fus_00000184,FUSeg,train,seg,data/FUSeg/train/images/0310.png,data/FUSeg/train/labels/0310.png,,,1
fus_00000185,FUSeg,train,seg,data/FUSeg/train/images/0311.png,data/FUSeg/train/labels/0311.png,,,1
fus_00000186,FUSeg,train,seg,data/FUSeg/train/images/0312.png,data/FUSeg/train/labels/0312.png,,,1
fus_00000187,FUSeg,train,seg,data/FUSeg/train/images/0314.png,data/FUSeg/train/labels/0314.png,,,1
fus_00000188,FUSeg,train,seg,data/FUSeg/train/images/0316.png,data/FUSeg/train/labels/0316.png,,,1
fus_00000189,FUSeg,train,seg,data/FUSeg/train/images/0317.png,data/FUSeg/train/labels/0317.png,,,1
fus_00000190,FUSeg,train,seg,data/FUSeg/train/images/0318.png,data/FUSeg/train/labels/0318.png,,,1
fus_00000191,FUSeg,train,seg,data/FUSeg/train/images/0319.png,data/FUSeg/train/labels/0319.png,,,1
fus_00000192,FUSeg,train,seg,data/FUSeg/train/images/0321.png,data/FUSeg/train/labels/0321.png,,,1
fus_00000193,FUSeg,train,seg,data/FUSeg/train/images/0323.png,data/FUSeg/train/labels/0323.png,,,1
fus_00000194,FUSeg,train,seg,data/FUSeg/train/images/0324.png,data/FUSeg/train/labels/0324.png,,,1
fus_00000195,FUSeg,train,seg,data/FUSeg/train/images/0325.png,data/FUSeg/train/labels/0325.png,,,1
fus_00000196,FUSeg,train,seg,data/FUSeg/train/images/0327.png,data/FUSeg/train/labels/0327.png,,,1
fus_00000197,FUSeg,train,seg,data/FUSeg/train/images/0328.png,data/FUSeg/train/labels/0328.png,,,1
fus_00000198,FUSeg,train,seg,data/FUSeg/train/images/0329.png,data/FUSeg/train/labels/0329.png,,,1
fus_00000199,FUSeg,train,seg,data/FUSeg/train/images/0330.png,data/FUSeg/train/labels/0330.png,,,1
fus_00000200,FUSeg,train,seg,data/FUSeg/train/images/0331.png,data/FUSeg/train/labels/0331.png,,,1
fus_00000201,FUSeg,train,seg,data/FUSeg/train/images/0332.png,data/FUSeg/train/labels/0332.png,,,1
fus_00000202,FUSeg,train,seg,data/FUSeg/train/images/0333.png,data/FUSeg/train/labels/0333.png,,,1
fus_00000203,FUSeg,train,seg,data/FUSeg/train/images/0340.png,data/FUSeg/train/labels/0340.png,,,1
fus_00000204,FUSeg,train,seg,data/FUSeg/train/images/0344.png,data/FUSeg/train/labels/0344.png,,,1
fus_00000205,FUSeg,train,seg,data/FUSeg/train/images/0346.png,data/FUSeg/train/labels/0346.png,,,1
fus_00000206,FUSeg,train,seg,data/FUSeg/train/images/0347.png,data/FUSeg/train/labels/0347.png,,,1
fus_00000207,FUSeg,train,seg,data/FUSeg/train/images/0348.png,data/FUSeg/train/labels/0348.png,,,1
fus_00000208,FUSeg,train,seg,data/FUSeg/train/images/0350.png,data/FUSeg/train/labels/0350.png,,,1
fus_00000209,FUSeg,train,seg,data/FUSeg/train/images/0352.png,data/FUSeg/train/labels/0352.png,,,1
fus_00000210,FUSeg,train,seg,data/FUSeg/train/images/0353.png,data/FUSeg/train/labels/0353.png,,,1
fus_00000211,FUSeg,train,seg,data/FUSeg/train/images/0357.png,data/FUSeg/train/labels/0357.png,,,1
fus_00000212,FUSeg,train,seg,data/FUSeg/train/images/0358.png,data/FUSeg/train/labels/0358.png,,,1
fus_00000213,FUSeg,train,seg,data/FUSeg/train/images/0359.png,data/FUSeg/train/labels/0359.png,,,1
fus_00000214,FUSeg,train,seg,data/FUSeg/train/images/0360.png,data/FUSeg/train/labels/0360.png,,,1
fus_00000215,FUSeg,train,seg,data/FUSeg/train/images/0361.png,data/FUSeg/train/labels/0361.png,,,1
fus_00000216,FUSeg,train,seg,data/FUSeg/train/images/0362.png,data/FUSeg/train/labels/0362.png,,,1
fus_00000217,FUSeg,train,seg,data/FUSeg/train/images/0364.png,data/FUSeg/train/labels/0364.png,,,1
fus_00000218,FUSeg,train,seg,data/FUSeg/train/images/0366.png,data/FUSeg/train/labels/0366.png,,,1
fus_00000219,FUSeg,train,seg,data/FUSeg/train/images/0367.png,data/FUSeg/train/labels/0367.png,,,1
fus_00000220,FUSeg,train,seg,data/FUSeg/train/images/0368.png,data/FUSeg/train/labels/0368.png,,,1
fus_00000221,FUSeg,train,seg,data/FUSeg/train/images/0370.png,data/FUSeg/train/labels/0370.png,,,1
fus_00000222,FUSeg,train,seg,data/FUSeg/train/images/0372.png,data/FUSeg/train/labels/0372.png,,,1
fus_00000223,FUSeg,train,seg,data/FUSeg/train/images/0373.png,data/FUSeg/train/labels/0373.png,,,1
fus_00000224,FUSeg,train,seg,data/FUSeg/train/images/0374.png,data/FUSeg/train/labels/0374.png,,,1
fus_00000225,FUSeg,train,seg,data/FUSeg/train/images/0378.png,data/FUSeg/train/labels/0378.png,,,1
fus_00000226,FUSeg,train,seg,data/FUSeg/train/images/0379.png,data/FUSeg/train/labels/0379.png,,,1
fus_00000227,FUSeg,train,seg,data/FUSeg/train/images/0380.png,data/FUSeg/train/labels/0380.png,,,1
fus_00000228,FUSeg,train,seg,data/FUSeg/train/images/0381.png,data/FUSeg/train/labels/0381.png,,,1
fus_00000229,FUSeg,train,seg,data/FUSeg/train/images/0384.png,data/FUSeg/train/labels/0384.png,,,1
fus_00000230,FUSeg,train,seg,data/FUSeg/train/images/0385.png,data/FUSeg/train/labels/0385.png,,,1
fus_00000231,FUSeg,train,seg,data/FUSeg/train/images/0386.png,data/FUSeg/train/labels/0386.png,,,1
fus_00000232,FUSeg,train,seg,data/FUSeg/train/images/0387.png,data/FUSeg/train/labels/0387.png,,,1
fus_00000233,FUSeg,train,seg,data/FUSeg/train/images/0388.png,data/FUSeg/train/labels/0388.png,,,1
fus_00000234,FUSeg,train,seg,data/FUSeg/train/images/0389.png,data/FUSeg/train/labels/0389.png,,,1
fus_00000235,FUSeg,train,seg,data/FUSeg/train/images/0391.png,data/FUSeg/train/labels/0391.png,,,1
fus_00000236,FUSeg,train,seg,data/FUSeg/train/images/0392.png,data/FUSeg/train/labels/0392.png,,,1
fus_00000237,FUSeg,train,seg,data/FUSeg/train/images/0394.png,data/FUSeg/train/labels/0394.png,,,1
fus_00000238,FUSeg,train,seg,data/FUSeg/train/images/0395.png,data/FUSeg/train/labels/0395.png,,,1
fus_00000239,FUSeg,train,seg,data/FUSeg/train/images/0396.png,data/FUSeg/train/labels/0396.png,,,1
fus_00000240,FUSeg,train,seg,data/FUSeg/train/images/0397.png,data/FUSeg/train/labels/0397.png,,,1
fus_00000241,FUSeg,train,seg,data/FUSeg/train/images/0399.png,data/FUSeg/train/labels/0399.png,,,1
fus_00000242,FUSeg,train,seg,data/FUSeg/train/images/0400.png,data/FUSeg/train/labels/0400.png,,,1
fus_00000243,FUSeg,train,seg,data/FUSeg/train/images/0401.png,data/FUSeg/train/labels/0401.png,,,1
